rank,CpG_index,importance,importance_scaled
143,383818,240.0672,2.200234e-05
144,446639,239.9827,2.199461e-05
145,531833,239.9236,2.198919e-05
146,3627,239.8224,2.197991e-05
147,757629,239.7164,2.19702e-05
148,781819,239.2041,2.192324e-05
149,472757,239.1643,2.19196e-05
150,570604,238.9155,2.189679e-05
151,58349,238.9081,2.189611e-05
152,81708,238.9052,2.189585e-05
153,405318,238.6547,2.187289e-05
154,72657,238.5659,2.186475e-05
155,223821,238.2838,2.183889e-05
156,37092,238.2287,2.183385e-05
157,555613,238.1793,2.182932e-05
158,518574,238.1279,2.182461e-05
159,787858,237.9799,2.181104e-05
160,533113,237.7176,2.178701e-05
161,38050,237.5324,2.177003e-05
162,586642,237.5146,2.17684e-05
163,27438,237.5075,2.176775e-05
164,430371,237.4083,2.175865e-05
165,799756,237.3993,2.175783e-05
166,116388,237.3933,2.175728e-05
167,350564,237.3707,2.175521e-05
168,570250,237.2054,2.174006e-05
169,282724,236.7126,2.169489e-05
170,490309,236.6467,2.168886e-05
171,563898,236.5663,2.168149e-05
172,481799,236.4622,2.167195e-05
173,190042,236.3746,2.166391e-05
174,307362,236.3689,2.166339e-05
175,125666,236.0354,2.163283e-05
176,60605,235.9956,2.162918e-05
177,625887,235.8023,2.161147e-05
178,171589,235.7917,2.161049e-05
179,97287,235.774,2.160887e-05
180,145784,235.728,2.160465e-05
181,17667,235.5996,2.159289e-05
182,658396,235.2844,2.1564e-05
183,90039,235.261,2.156185e-05
184,626727,235.2262,2.155867e-05
185,352035,235.2113,2.15573e-05
186,318933,235.143,2.155104e-05
187,678947,235.0051,2.15384e-05
188,449266,234.998,2.153775e-05
189,65045,234.9948,2.153746e-05
190,154766,234.9699,2.153517e-05
191,318805,234.7171,2.1512e-05
192,858740,234.5047,2.149254e-05
193,12006,234.4884,2.149104e-05
194,740277,234.3637,2.147961e-05
195,308490,234.2122,2.146574e-05
196,510515,234.1708,2.146193e-05
197,316888,234.1508,2.146011e-05
198,534347,234.0582,2.145162e-05
199,226405,233.9274,2.143963e-05
200,130567,233.8803,2.143531e-05
201,48917,233.7867,2.142674e-05
202,295177,233.6161,2.14111e-05
203,393045,233.5938,2.140905e-05
204,348843,233.5478,2.140484e-05
205,744197,233.3427,2.138604e-05
206,138752,233.3365,2.138547e-05
207,78373,233.2227,2.137505e-05
208,101546,233.2158,2.137441e-05
209,661257,233.1251,2.13661e-05
210,281778,233.0302,2.13574e-05
211,29773,232.809,2.133712e-05
212,636949,232.732,2.133007e-05
213,70255,232.6417,2.132179e-05
214,203943,232.5545,2.13138e-05
215,65942,232.3567,2.129567e-05
216,275913,232.2099,2.128222e-05
217,93301,232.1791,2.12794e-05
218,144607,231.9281,2.125639e-05
219,297895,231.7176,2.12371e-05
220,826055,231.6813,2.123377e-05
221,90037,231.2893,2.119785e-05
222,662340,231.2143,2.119097e-05
223,471360,231.1221,2.118252e-05
224,78717,231.0688,2.117764e-05
225,519802,230.7232,2.114596e-05
226,839055,230.6888,2.11428e-05
227,56899,230.637,2.113806e-05
228,773924,230.3952,2.11159e-05
229,283781,230.1386,2.109239e-05
230,457545,230.0724,2.108631e-05
231,707387,229.9875,2.107854e-05
232,18725,229.7502,2.105678e-05
233,545983,229.4181,2.102635e-05
234,134391,229.4139,2.102596e-05
235,252150,229.3263,2.101793e-05
236,667904,229.2736,2.10131e-05
237,38596,229.1627,2.100294e-05
238,316686,228.8494,2.097422e-05
239,151643,228.3812,2.093132e-05
240,273710,228.3373,2.092729e-05
241,227894,228.2812,2.092215e-05
242,656743,228.2793,2.092197e-05
243,95807,228.1905,2.091384e-05
244,8396,228.1445,2.090963e-05
245,460201,228.0824,2.090393e-05
246,844644,228.0571,2.090161e-05
247,859618,228.0466,2.090065e-05
248,206612,228.0032,2.089667e-05
249,436143,227.9977,2.089617e-05
250,312048,227.9436,2.089121e-05
251,575548,227.7277,2.087142e-05
252,522337,227.5979,2.085952e-05
253,780048,227.5151,2.085194e-05
254,591430,227.004,2.080509e-05
255,251576,226.9902,2.080383e-05
256,125811,226.9124,2.07967e-05
257,366435,226.841,2.079016e-05
258,399399,226.7855,2.078507e-05
259,68564,226.7545,2.078222e-05
260,191516,226.6831,2.077568e-05
261,479631,226.6377,2.077152e-05
262,780507,226.5952,2.076763e-05
263,526976,226.4428,2.075366e-05
264,548253,226.3896,2.074878e-05
265,43433,226.3806,2.074796e-05
266,603779,226.31,2.074149e-05
267,182289,226.3044,2.074097e-05
268,831248,226.1977,2.07312e-05
269,2834,226.0717,2.071964e-05
270,110155,225.9792,2.071117e-05
271,101622,225.6853,2.068424e-05
272,460084,225.5722,2.067387e-05
273,605716,225.5625,2.067298e-05
274,767530,225.5148,2.066861e-05
275,319386,225.3621,2.065461e-05
276,640842,225.3093,2.064977e-05
277,529210,225.2742,2.064655e-05
278,111950,225.265,2.064571e-05
279,767216,225.2512,2.064445e-05
280,66302,225.1815,2.063806e-05
281,145471,225.0799,2.062875e-05
282,338976,224.924,2.061446e-05
283,354761,224.8883,2.061119e-05
284,490413,224.8747,2.060994e-05
285,62312,224.8406,2.060682e-05
286,309602,224.7252,2.059624e-05
287,835367,224.615,2.058614e-05
288,42875,224.6048,2.05852e-05
289,247204,224.593,2.058412e-05
290,11368,224.5864,2.058352e-05
291,703543,224.5535,2.058051e-05
292,40403,224.5153,2.0577e-05
293,207886,224.5103,2.057654e-05
294,401821,224.4243,2.056866e-05
295,349005,224.3253,2.055959e-05
296,162092,224.2132,2.054931e-05
297,452685,224.129,2.054159e-05
298,108946,224.0268,2.053223e-05
299,331535,224.0121,2.053088e-05
300,126302,223.9984,2.052963e-05
301,195744,223.9734,2.052734e-05
302,50442,223.9225,2.052268e-05
303,785562,223.9163,2.052211e-05
304,36188,223.7902,2.051055e-05
305,462247,223.79,2.051053e-05
306,369119,223.6168,2.049466e-05
307,215692,223.2897,2.046467e-05
308,136910,223.2862,2.046435e-05
309,71134,223.2185,2.045815e-05
310,850142,222.9475,2.043331e-05
311,71539,222.8837,2.042746e-05
312,519113,222.767,2.041677e-05
313,58622,222.5582,2.039763e-05
314,83353,222.4819,2.039064e-05
315,612262,222.4614,2.038876e-05
316,711629,222.4607,2.03887e-05
317,266058,222.4374,2.038656e-05
318,391828,222.3363,2.03773e-05
319,345922,222.284,2.03725e-05
320,562623,222.2584,2.037015e-05
321,199537,222.2164,2.036631e-05
322,121698,222.183,2.036324e-05
323,590692,221.9403,2.0341e-05
324,147355,221.8938,2.033674e-05
325,100893,221.8439,2.033217e-05
326,839288,221.8244,2.033038e-05
327,586080,221.7935,2.032754e-05
328,51652,221.7883,2.032707e-05
329,382,221.5724,2.030729e-05
330,15369,221.5616,2.030629e-05
331,228048,221.429,2.029414e-05
332,62208,221.3825,2.028988e-05
333,260338,221.3774,2.028941e-05
334,27615,221.3724,2.028895e-05
335,788042,221.2281,2.027573e-05
336,127375,221.214,2.027444e-05
337,36466,221.1212,2.026593e-05
338,453928,221.1176,2.02656e-05
339,25880,221.1053,2.026447e-05
340,323426,220.936,2.024895e-05
341,822154,220.7912,2.023569e-05
342,788054,220.6393,2.022177e-05
343,2089,220.5957,2.021777e-05
344,488857,220.4711,2.020635e-05
345,117656,220.4683,2.020609e-05
346,233797,220.4068,2.020045e-05
347,153166,220.2987,2.019055e-05
348,36876,220.1278,2.017489e-05
349,48066,220.1157,2.017377e-05
350,458473,219.972,2.01606e-05
351,770471,219.9372,2.015742e-05
352,847350,219.9258,2.015637e-05
353,77142,219.9072,2.015466e-05
354,551264,219.8523,2.014964e-05
355,33669,219.821,2.014677e-05
356,679051,219.8204,2.014671e-05
357,491350,219.8075,2.014553e-05
358,735482,219.7382,2.013918e-05
359,329267,219.5476,2.012171e-05
360,727522,219.5474,2.012169e-05
361,246840,219.474,2.011496e-05
362,663553,219.3768,2.010606e-05
363,195259,219.3264,2.010144e-05
364,251660,219.2537,2.009477e-05
365,47452,219.2502,2.009446e-05
366,186820,219.2235,2.009201e-05
367,121609,219.2057,2.009037e-05
368,597763,219.2033,2.009016e-05
369,106640,219.03,2.007427e-05
370,454476,219.0254,2.007385e-05
371,699867,218.9289,2.0065e-05
372,70765,218.9225,2.006442e-05
373,656880,218.8414,2.005699e-05
374,834795,218.8317,2.00561e-05
375,565095,218.8017,2.005334e-05
376,157993,218.7639,2.004988e-05
377,300337,218.7537,2.004895e-05
378,21544,218.6878,2.00429e-05
379,311518,218.5966,2.003455e-05
380,82082,218.5489,2.003018e-05
381,4312,218.4492,2.002104e-05
382,25345,218.392,2.00158e-05
383,188748,218.3723,2.001399e-05
384,253715,218.3368,2.001074e-05
385,247092,218.2514,2.000291e-05
386,420118,218.2422,2.000207e-05
387,753739,218.2183,1.999987e-05
388,121207,218.1801,1.999638e-05
389,750324,218.1645,1.999495e-05
390,780256,218.1349,1.999224e-05
391,279549,218.1255,1.999137e-05
392,137819,218.0546,1.998487e-05
393,285918,217.9852,1.997852e-05
394,23395,217.9753,1.99776e-05
395,29869,217.9283,1.99733e-05
396,495214,217.9012,1.997082e-05
397,696162,217.8841,1.996925e-05
398,192685,217.7688,1.995868e-05
399,703947,217.7206,1.995426e-05
400,592542,217.6931,1.995174e-05
401,184968,217.6575,1.994848e-05
402,480569,217.6343,1.994635e-05
403,397125,217.4893,1.993306e-05
404,71506,217.4267,1.992733e-05
405,101362,217.3763,1.992271e-05
406,83014,217.3642,1.99216e-05
407,341677,217.3433,1.991968e-05
408,232998,217.249,1.991104e-05
409,169308,217.2415,1.991035e-05
410,281287,217.2061,1.990711e-05
411,542902,217.129,1.990004e-05
412,735072,217.1232,1.989951e-05
413,757069,216.8685,1.987616e-05
414,112164,216.8634,1.98757e-05
415,821750,216.8618,1.987556e-05
416,5116,216.8477,1.987427e-05
417,630410,216.8307,1.98727e-05
418,103390,216.7573,1.986598e-05
419,591721,216.732,1.986366e-05
420,17160,216.6095,1.985243e-05
421,289475,216.4087,1.983402e-05
422,479492,216.3663,1.983014e-05
423,231136,216.3307,1.982688e-05
424,486698,216.202,1.981508e-05
425,39083,216.1931,1.981426e-05
426,529030,216.19,1.981398e-05
427,615227,216.1334,1.980879e-05
428,243600,216.1302,1.980851e-05
429,420688,216.0478,1.980095e-05
430,86821,216.025,1.979886e-05
431,657560,215.9315,1.979029e-05
432,163317,215.882,1.978575e-05
433,43822,215.8461,1.978246e-05
434,365111,215.6696,1.976628e-05
435,727881,215.5406,1.975447e-05
436,472894,215.5135,1.975198e-05
437,183727,215.4799,1.97489e-05
438,105468,215.4757,1.974851e-05
439,525239,215.3664,1.97385e-05
440,264074,215.2666,1.972935e-05
441,575948,215.2083,1.972401e-05
442,799984,215.1407,1.971782e-05
443,73501,215.0497,1.970947e-05
444,110695,214.9537,1.970068e-05
445,690882,214.8989,1.969565e-05
446,740108,214.8282,1.968917e-05
447,244738,214.8276,1.968912e-05
448,265186,214.7323,1.968038e-05
449,656437,214.691,1.96766e-05
450,758188,214.6768,1.96753e-05
451,168305,214.5978,1.966806e-05
452,220283,214.5071,1.965974e-05
453,331984,214.4772,1.9657e-05
454,76645,214.4616,1.965558e-05
455,176113,214.2934,1.964015e-05
456,258764,214.225,1.963389e-05
457,207300,214.202,1.963178e-05
458,484356,214.1528,1.962727e-05
459,341621,213.918,1.960575e-05
460,175916,213.8157,1.959637e-05
461,683442,213.7557,1.959088e-05
462,768330,213.737,1.958916e-05
463,333941,213.6743,1.958341e-05
464,7137,213.6697,1.9583e-05
465,102625,213.5874,1.957545e-05
466,267841,213.5447,1.957154e-05
467,112308,213.4188,1.956e-05
468,599172,213.3529,1.955396e-05
469,478723,213.3273,1.955161e-05
470,337793,213.2343,1.954309e-05
471,770251,213.2181,1.95416e-05
472,2735,213.1926,1.953926e-05
473,856308,213.1646,1.95367e-05
474,269202,213.1539,1.953572e-05
475,125865,213.1194,1.953256e-05
476,701271,213.1015,1.953092e-05
477,187569,213.0161,1.952309e-05
478,136238,212.8022,1.950348e-05
479,74002,212.7514,1.949883e-05
480,437047,212.7159,1.949558e-05
481,757298,212.6634,1.949077e-05
482,204470,212.6367,1.948832e-05
483,703443,212.6315,1.948785e-05
484,194281,212.6276,1.948748e-05
485,254470,212.5863,1.94837e-05
486,39322,212.5732,1.94825e-05
487,863691,212.5093,1.947664e-05
488,588648,212.5086,1.947658e-05
489,480267,212.508,1.947653e-05
490,676838,212.425,1.946892e-05
491,354999,212.399,1.946654e-05
492,358829,212.3538,1.946239e-05
493,807461,212.3146,1.94588e-05
494,418288,212.3,1.945746e-05
495,170330,212.2889,1.945644e-05
496,23718,212.0007,1.943003e-05
497,223932,211.9087,1.942159e-05
498,379335,211.6391,1.939689e-05
499,364365,211.5687,1.939043e-05
500,224090,211.5609,1.938972e-05
501,731816,211.5585,1.93895e-05
502,495917,211.5462,1.938838e-05
503,335908,211.5348,1.938733e-05
504,169299,211.5306,1.938694e-05
505,532740,211.4999,1.938413e-05
506,363813,211.457,1.93802e-05
507,845071,211.3904,1.937409e-05
508,503810,211.1912,1.935584e-05
509,310545,211.1889,1.935563e-05
510,691854,211.1469,1.935178e-05
511,234784,211.0145,1.933964e-05
512,273008,210.9314,1.933202e-05
513,248581,210.919,1.933089e-05
514,744797,210.8952,1.932871e-05
515,179516,210.8841,1.932769e-05
516,791439,210.7951,1.931954e-05
517,527156,210.739,1.931439e-05
518,597418,210.6963,1.931048e-05
519,744201,210.63,1.930441e-05
520,58554,210.567,1.929863e-05
521,247591,210.5023,1.92927e-05
522,98461,210.4927,1.929182e-05
523,639914,210.4854,1.929115e-05
524,732703,210.4075,1.928401e-05
525,53632,210.3893,1.928234e-05
526,380200,210.345,1.927829e-05
527,228175,210.3216,1.927614e-05
528,346578,210.3141,1.927545e-05
529,375619,210.2849,1.927278e-05
530,700890,210.2576,1.927027e-05
531,786520,210.2194,1.926677e-05
532,406828,210.2139,1.926627e-05
533,393645,210.1394,1.925944e-05
534,298839,210.0945,1.925532e-05
535,167651,209.9701,1.924393e-05
536,577337,209.9288,1.924014e-05
537,470939,209.8999,1.923749e-05
538,557923,209.8445,1.923241e-05
539,367429,209.7806,1.922655e-05
540,45353,209.7616,1.922481e-05
541,813330,209.752,1.922394e-05
542,60986,209.6992,1.92191e-05
543,863307,209.6917,1.921841e-05
544,108732,209.6819,1.921751e-05
545,600816,209.6097,1.921089e-05
546,162684,209.5853,1.920865e-05
547,126316,209.5585,1.92062e-05
548,449858,209.5537,1.920576e-05
549,217110,209.4597,1.919715e-05
550,730593,209.4272,1.919416e-05
551,678202,209.4142,1.919298e-05
552,530572,209.3845,1.919025e-05
553,812813,209.2907,1.918166e-05
554,563936,209.2756,1.918028e-05
555,683456,209.2665,1.917944e-05
556,361871,209.2489,1.917783e-05
557,124096,209.2408,1.917708e-05
558,813246,209.2002,1.917336e-05
559,7590,209.1178,1.916581e-05
560,97834,209.0074,1.915569e-05
561,252797,208.9715,1.91524e-05
562,560960,208.9339,1.914895e-05
563,430256,208.8819,1.914419e-05
564,831460,208.8782,1.914385e-05
565,378579,208.83,1.913943e-05
566,614325,208.7669,1.913365e-05
567,322999,208.7452,1.913166e-05
568,52344,208.7401,1.913119e-05
569,299326,208.7234,1.912966e-05
570,247471,208.7001,1.912753e-05
571,418521,208.6703,1.912479e-05
572,99755,208.6431,1.912231e-05
573,259464,208.631,1.912119e-05
574,402644,208.5801,1.911653e-05
575,383599,208.5561,1.911433e-05
576,175170,208.5428,1.911311e-05
577,693863,208.4878,1.910807e-05
578,610350,208.4297,1.910274e-05
579,480037,208.3327,1.909386e-05
580,94026,208.2303,1.908447e-05
581,184861,208.1956,1.908129e-05
582,381260,208.1827,1.908011e-05
583,91020,208.1441,1.907657e-05
584,160575,208.1385,1.907606e-05
585,626178,208.0935,1.907193e-05
586,440264,208.0854,1.907119e-05
587,698641,208.0774,1.907046e-05
588,37824,208.0053,1.906385e-05
589,14494,207.9911,1.906255e-05
590,141589,207.8,1.904503e-05
591,330423,207.7936,1.904445e-05
592,484878,207.7736,1.904261e-05
593,110111,207.6768,1.903374e-05
594,370508,207.611,1.902771e-05
595,344717,207.5498,1.90221e-05
596,159728,207.5077,1.901824e-05
597,556379,207.4417,1.901219e-05
598,47942,207.4138,1.900964e-05
599,112455,207.3791,1.900646e-05
600,249932,207.3342,1.900234e-05
601,608028,207.3135,1.900044e-05
602,186438,207.2922,1.899849e-05
603,104338,207.2621,1.899574e-05
604,484970,207.1731,1.898758e-05
605,159460,207.0547,1.897673e-05
606,62662,206.9753,1.896945e-05
607,503233,206.9141,1.896384e-05
608,775494,206.8148,1.895474e-05
609,853189,206.7654,1.895021e-05
610,77087,206.7143,1.894553e-05
611,75482,206.6264,1.893747e-05
612,233213,206.6113,1.893609e-05
613,713430,206.5746,1.893272e-05
614,456208,206.5562,1.893104e-05
615,577078,206.5256,1.892823e-05
616,628028,206.5062,1.892645e-05
617,836120,206.4772,1.892379e-05
618,620066,206.3864,1.891548e-05
619,204290,206.2863,1.89063e-05
620,689580,206.2861,1.890628e-05
621,178107,206.166,1.889527e-05
622,819890,206.0821,1.888758e-05
623,261601,206.0678,1.888627e-05
624,229758,205.9923,1.887935e-05
625,71996,205.9566,1.887608e-05
626,775687,205.9468,1.887519e-05
627,387855,205.9402,1.887458e-05
628,811813,205.8015,1.886187e-05
629,681622,205.7694,1.885893e-05
630,553977,205.7433,1.885654e-05
631,688672,205.7106,1.885354e-05
632,720600,205.6977,1.885235e-05
633,672778,205.6973,1.885232e-05
634,352916,205.6754,1.885031e-05
635,721864,205.6534,1.88483e-05
636,128486,205.6508,1.884806e-05
637,49793,205.5356,1.88375e-05
638,2985,205.4808,1.883247e-05
639,447600,205.463,1.883085e-05
640,680986,205.4591,1.883049e-05
641,296591,205.4339,1.882818e-05
642,585308,205.4165,1.882658e-05
643,616210,205.4153,1.882647e-05
644,750087,205.4138,1.882634e-05
645,180133,205.3725,1.882255e-05
646,626703,205.3302,1.881868e-05
647,668535,205.3277,1.881844e-05
648,854616,205.3018,1.881607e-05
649,112156,205.2833,1.881437e-05
650,375959,205.2819,1.881425e-05
651,281956,205.2661,1.881279e-05
652,172960,205.1631,1.880336e-05
653,487352,205.1449,1.880169e-05
654,556813,205.1143,1.879889e-05
655,760238,205.0594,1.879385e-05
656,73858,205.0293,1.87911e-05
657,179590,205.01,1.878932e-05
658,365021,204.9596,1.878471e-05
659,104786,204.8954,1.877882e-05
660,450743,204.8425,1.877398e-05
661,532220,204.8377,1.877353e-05
662,321223,204.8101,1.8771e-05
663,792841,204.7876,1.876894e-05
664,67221,204.7699,1.876732e-05
665,157382,204.755,1.876595e-05
666,84225,204.7017,1.876107e-05
667,601048,204.6847,1.875951e-05
668,753109,204.6631,1.875753e-05
669,414951,204.6543,1.875673e-05
670,535508,204.6339,1.875485e-05
671,262648,204.6097,1.875264e-05
672,92455,204.5957,1.875136e-05
673,727961,204.5623,1.874829e-05
674,77364,204.5329,1.87456e-05
675,684299,204.525,1.874487e-05
676,734609,204.4918,1.874183e-05
677,397553,204.3947,1.873293e-05
678,283609,204.1704,1.871238e-05
679,770291,204.1504,1.871054e-05
680,634365,204.1493,1.871044e-05
681,420296,204.1404,1.870963e-05
682,389286,204.14,1.870959e-05
683,715816,204.1269,1.870839e-05
684,396605,204.1197,1.870773e-05
685,107384,204.1058,1.870645e-05
686,146318,204.0959,1.870555e-05
687,207162,204.0843,1.870449e-05
688,102023,204.0834,1.87044e-05
689,609501,203.978,1.869474e-05
690,769638,203.9774,1.869468e-05
691,61961,203.9162,1.868908e-05
692,354379,203.8841,1.868613e-05
693,142049,203.8062,1.8679e-05
694,115899,203.7562,1.867441e-05
695,110298,203.7225,1.867133e-05
696,143067,203.7209,1.867118e-05
697,625129,203.6772,1.866717e-05
698,567112,203.4713,1.86483e-05
699,820527,203.4529,1.864661e-05
700,539904,203.443,1.864571e-05
701,227180,203.4383,1.864528e-05
702,441185,203.4003,1.864179e-05
703,454325,203.3657,1.863863e-05
704,365988,203.3279,1.863516e-05
705,759400,203.273,1.863013e-05
706,604551,203.2528,1.862828e-05
707,515912,203.2425,1.862734e-05
708,664634,203.2268,1.862589e-05
709,824210,203.1534,1.861917e-05
710,1125,203.1503,1.861888e-05
711,86904,203.1429,1.86182e-05
712,316647,203.1108,1.861526e-05
713,617593,203.0946,1.861378e-05
714,320727,203.0891,1.861328e-05
715,760830,203.0211,1.860704e-05
716,445751,202.9519,1.86007e-05
717,341014,202.7873,1.858562e-05
718,254774,202.7778,1.858475e-05
719,803739,202.7765,1.858462e-05
720,541110,202.7742,1.858441e-05
721,141718,202.718,1.857926e-05
722,257405,202.6979,1.857742e-05
723,345138,202.6358,1.857173e-05
724,125222,202.6322,1.85714e-05
725,12099,202.53,1.856203e-05
726,498274,202.5188,1.856101e-05
727,647541,202.4688,1.855642e-05
728,430055,202.4594,1.855556e-05
729,283023,202.4565,1.855529e-05
730,277787,202.4309,1.855295e-05
731,542891,202.3936,1.854953e-05
732,265727,202.2944,1.854044e-05
733,557463,202.2715,1.853834e-05
734,44978,202.2669,1.853792e-05
735,816411,202.2502,1.853639e-05
736,464688,202.2266,1.853422e-05
737,19219,202.2248,1.853406e-05
738,77389,202.2029,1.853206e-05
739,770978,202.1884,1.853073e-05
740,92908,202.1598,1.85281e-05
741,192727,202.1474,1.852697e-05
742,150893,202.1292,1.85253e-05
743,63958,202.1289,1.852527e-05
744,709680,202.1193,1.85244e-05
745,167160,202.0966,1.852231e-05
746,189184,202.0822,1.852099e-05
747,90261,202.0243,1.851569e-05
748,745512,201.9968,1.851316e-05
749,656172,201.9609,1.850987e-05
750,640242,201.9396,1.850792e-05
751,141344,201.902,1.850447e-05
752,580255,201.8665,1.850122e-05
753,633760,201.835,1.849834e-05
754,405849,201.8322,1.849807e-05
755,502739,201.8309,1.849796e-05
756,666179,201.7613,1.849158e-05
757,539094,201.7464,1.849022e-05
758,638839,201.6922,1.848525e-05
759,287337,201.6272,1.847929e-05
760,400053,201.627,1.847927e-05
761,756690,201.5878,1.847568e-05
762,442566,201.5763,1.847462e-05
763,289032,201.538,1.847111e-05
764,131670,201.4528,1.846331e-05
765,60493,201.4339,1.846157e-05
766,386283,201.4336,1.846155e-05
767,854066,201.4167,1.845999e-05
768,857545,201.4109,1.845947e-05
769,209014,201.3607,1.845486e-05
770,102178,201.3411,1.845307e-05
771,172334,201.3331,1.845233e-05
772,797661,201.3144,1.845062e-05
773,435657,201.2869,1.84481e-05
774,799287,201.2753,1.844703e-05
775,17039,201.2646,1.844606e-05
776,400551,201.2296,1.844284e-05
777,286394,201.2191,1.844189e-05
778,172551,201.096,1.84306e-05
779,52519,201.0043,1.84222e-05
780,608982,200.9926,1.842113e-05
